Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
callTestCase,Firefox 52.0,,2018-07-05 21:13:17,2018-07-05 21:13:41,23.611s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-05 21:13:41,2018-07-05 21:14:14,33.229s,PASSED
sendKeys,Firefox 52.0,,2018-07-05 21:14:14,2018-07-05 21:14:14,0.409s,PASSED
click,Firefox 52.0,,2018-07-05 21:14:14,2018-07-05 21:14:14,0.310s,PASSED
verifyElementAttributeValue,Firefox 52.0,,2018-07-05 21:14:14,2018-07-05 21:14:19,4.222s,PASSED
closeBrowser,Firefox 52.0,,2018-07-05 21:14:19,2018-07-05 21:14:19,0.229s,PASSED
,,,,,,
"Test Cases/DDS-264/DDS-4098 On online store page, user should be able to search item with xss character",Firefox 52.0,,2018-07-05 21:14:19,2018-07-05 21:14:35,15.810s,FAILED
callTestCase,Firefox 52.0,,2018-07-05 21:14:19,2018-07-05 21:14:34,15.480s,PASSED
sendKeys,Firefox 52.0,,2018-07-05 21:14:34,2018-07-05 21:14:35,0.158s,PASSED
doubleClick,Firefox 52.0,,2018-07-05 21:14:35,2018-07-05 21:14:35,0.101s,FAILED
,,,,,,
Test Cases/DDS-264/DDS-4099 On online store page user should be able to search item with special characters,Firefox 52.0,,2018-07-05 21:14:35,2018-07-05 21:15:30,54.925s,PASSED
callTestCase,Firefox 52.0,,2018-07-05 21:14:35,2018-07-05 21:14:56,20.933s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-05 21:14:56,2018-07-05 21:15:24,28.707s,PASSED
sendKeys,Firefox 52.0,,2018-07-05 21:15:24,2018-07-05 21:15:25,0.404s,PASSED
click,Firefox 52.0,,2018-07-05 21:15:25,2018-07-05 21:15:25,0.329s,PASSED
verifyElementAttributeValue,Firefox 52.0,,2018-07-05 21:15:25,2018-07-05 21:15:29,4.242s,PASSED
closeBrowser,Firefox 52.0,,2018-07-05 21:15:29,2018-07-05 21:15:30,0.236s,PASSED
,,,,,,
"Test Cases/DDS-264/DDS-4100 On online store page, user should be able to search item with numeric  characters",Firefox 52.0,,2018-07-05 21:15:30,2018-07-05 21:16:31,1m - 1.829s,PASSED
callTestCase,Firefox 52.0,,2018-07-05 21:15:30,2018-07-05 21:15:48,18.718s,PASSED
sendKeys,Firefox 52.0,,2018-07-05 21:15:48,2018-07-05 21:16:24,35.074s,PASSED
click,Firefox 52.0,,2018-07-05 21:16:24,2018-07-05 21:16:24,0.353s,PASSED
waitForElementPresent,Firefox 52.0,,2018-07-05 21:16:24,2018-07-05 21:16:31,7.409s,PASSED
verifyElementText,Firefox 52.0,,2018-07-05 21:16:31,2018-07-05 21:16:31,0.025s,PASSED
closeBrowser,Firefox 52.0,,2018-07-05 21:16:31,2018-07-05 21:16:31,0.173s,PASSED
,,,,,,
Test Cases/DDS-264/DDS-4101 Item search should perform text-based search in various catalog field such as item name and show all those items on search result page,Firefox 52.0,,2018-07-05 21:16:31,2018-07-05 21:17:40,1m - 8.641s,PASSED
callTestCase,Firefox 52.0,,2018-07-05 21:16:32,2018-07-05 21:16:53,21.711s,PASSED
